物种,比较组,LDA值,P值,属
Bacteria.Bacteroidetes.Sphingobacteriia.Sphingobacteriales.Sphingobacteriaceae.Pedobacter,NB,3.047763916,0.022153171,Pedobacter
Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.Jeotgalicoccus,NB,2.754314633,0.009125853,Jeotgalicoccus
Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Oxalobacteraceae.Janthinobacterium,NB,2.753970544,0.039957012,Janthinobacterium
Bacteria.Bacteroidetes.Flavobacteriia.Flavobacteriales.Flavobacteriaceae.Bergeyella,NB,2.713831866,0.009125853,Bergeyella
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Gemmiger,NB,2.594605369,0.018233672,Gemmiger
Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Burkholderiales_incertae_sedis.Mitsuaria,NB,2.512226966,0.014019216,Mitsuaria
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Bradyrhizobiaceae.Bosea,NB,2.347856471,0.046450415,Bosea
Bacteria.Planctomycetes.Planctomycetia.Planctomycetales.Planctomycetaceae.Aquisphaera,NB,2.316220999,0.009125853,Aquisphaera
Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Pseudonocardiaceae.Actinomycetospora,NB,2.233406044,0.009125853,Actinomycetospora
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Odoribacter,NB,2.228856545,0.010874582,Odoribacter
Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae.Vagococcus,NB,2.177932485,0.045941354,Vagococcus
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Coprobacter,NB,2.147704901,0.010891461,Coprobacter
Bacteria.Firmicutes.Clostridia.Clostridiales.Christensenellaceae.Christensenella,NB,2.129981581,0.009125853,Christensenella
Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Pseudonocardiaceae.Saccharopolyspora,NB,2.086674297,0.031374072,Saccharopolyspora
Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Comamonadaceae.Ottowia,NB,2.003262017,0.037822187,Ottowia
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Flavonifractor,B,3.2854876,0.01111284,Flavonifractor
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Pseudoflavonifractor,B,3.231836078,0.04936605,Pseudoflavonifractor
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Anaerofilum,B,2.630067039,0.020058548,Anaerofilum
Bacteria.Proteobacteria.Alphaproteobacteria.Sphingomonadales.Sphingomonadaceae.Novosphingobium,B,2.601160383,0.04936605,Novosphingobium
Bacteria.Bacteroidetes.Sphingobacteriia.Sphingobacteriales.Chitinophagaceae.Vibrionimonas,B,2.541028289,0.020058548,Vibrionimona
Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Collinsella,B,2.431099374,0.020058548,Collinsella
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Hespellia,B,2.096276815,0.040831855,Hespellia
Bacteria.Proteobacteria.Betaproteobacteria.Methylophilales.Methylophilaceae.Methylophilus,B,2.072680732,0.020058548,Methylophilus
