"","p-value","FDR"
"Ruminococcus2",0.0000000000183930101348501,0.000000000647955903813958
"Clostridium_IV",0.0000000000359975502118865,0.000000000647955903813958
"Lactobacillus",0.0000000000713609948487768,0.000000000856331938185322
"Clostridium_XlVb",0.000000000131959723006342,0.00000000118763750705707
"Butyricicoccus",0.000000000173996105818759,0.00000000125277196189506
"Escherichia",0.000000000518712906470178,0.00000000311227743882107
"Pseudoflavonifractor",0.00000000105515197486034,0.00000000542649587071031
"Subdoligranulum",0.00000000135811109035634,0.00000000611149990660354
"Faecalibacterium",0.00000000156660753381716,0.00000000626643013526865
"Blautia",0.0000000326949562414227,0.000000117701842469122
"Clostridium_XlVa",0.000000102582066052458,0.00000033572312526259
"Leptotrichia",0.000000230821205304646,0.000000692463615913937
"Streptococcus",0.000000908710675948135,0.00000251642956416407
"Prevotella",0.0000028794893067171,0.00000740440107441539
"Others",0.00000918682110155276,0.0000220483706437266
"Granulicatella",0.0000260753857236623,0.0000586696178782402
"Haemophilus",0.0000280848155237377,0.0000594737269914446
"Gemella",0.0000311902419344004,0.0000623804838688009
"Fusobacterium",0.0000361351059249371,0.0000684665164893544
"Veillonella",0.0001231059346223,0.00022159068232014
"Rothia",0.000148195653752879,0.000254049692147793
"Porphyromonas",0.000159525135152118,0.00026104113024892
"Pelomonas",0.00025549581035874,0.000383498753209845
"Lautropia",0.00025566583547323,0.000383498753209845
"Alloprevotella",0.000647490386565146,0.00093238615665381
"Neisseria",0.000770300394744241,0.00106656977733818
"Acinetobacter",0.00126215979744678,0.00168287972992904
"Corynebacterium",0.169988522967804,0.218556672387177
"Dolosigranulum",0.264952260800102,0.328906254786334
"Bacteroides",0.294937413039529,0.353924895647434
"Klebsiella",0.312309487623871,0.362681985627722
"Barnesiella",0.390100650368071,0.438863231664079
"Peptoniphilus",0.635106249912306,0.692843181722516
"Anaerococcus",0.846280488612857,0.896061693825378
"Staphylococcus",0.916412680999888,0.942595900457027
"Propionibacterium",0.951158343243201,0.951158343243201
